action,riderNumAfter,floorIndex,direction,time
1,0,18,1,2651.2081022278103
2,0,15,1,2653.1010620683423
2,0,3,1,2657.914592359722
1,0,6,-1,2658.988933408049
1,1,6,1,2658.988933408049
2,0,12,1,2659.1010620683423
2,0,16,1,2661.1010620683423
1,1,7,-1,2662.2069763867835
1,0,7,1,2662.2069763867835
1,5,4,1,2664.914592359722
2,0,17,1,2672.1010620683423
2,0,3,-1,2672.914592359722
1,0,10,-1,2676.2677639261165
1,1,10,1,2676.2677639261165
1,1,7,-1,2676.811395147435
1,1,7,1,2676.811395147435
1,0,3,-1,2676.8968297300316
1,1,3,1,2676.8968297300316
2,0,4,1,2683.914592359722
2,0,1,-1,2684.914592359722
1,7,16,-1,2685.742361328341
1,0,16,1,2685.742361328341
2,0,6,1,2694.914592359722
2,0,3,1,2696.914592359722
2,0,7,1,2703.914592359722
1,1,4,1,2704.914592359722
1,1,10,-1,2707.9046492619846
1,1,10,1,2707.9046492619846
1,0,8,-1,2710.2795096513332
1,1,8,1,2710.2795096513332
1,7,8,1,2711.914592359722
1,0,11,-1,2714.180607649854
1,1,11,1,2714.180607649854
1,7,16,-1,2715.0448017495037
1,1,16,1,2715.0448017495037
2,0,10,-1,2715.1010620683423
1,1,8,-1,2727.1010620683423
1,2,5,-1,2727.717940164483
1,0,5,1,2727.717940164483
2,0,4,1,2730.914592359722
2,0,8,1,2736.1010620683423
2,0,9,1,2744.1010620683423
1,1,8,1,2750.914592359722
2,0,8,-1,2752.914592359722
2,0,10,1,2753.1010620683423
