cid,pass_by,appear_time,destination,boarding_time,get_off_time,total_waiting_time,time_in_elev,journey_time,transfer_num,isSuccessful
157,"['3', '7']",1939.5458880744877,10,[2403.1213194799966],[2443.1213194799966],1620.4541119255123,40.0,1660.4541119255123,1,False
158,"['B1', '1']",1946.1985084930964,14,[1957.1985084930964],[1963.1985084930964],1647.8014915069036,6.0,1653.8014915069036,1,False
159,"['5', '6']",1954.311468385811,6,[2424.1213194799966],[2434.1213194799966],469.80985109418566,10.0,479.80985109418566,0,True
160,"['14', '7']",1986.7446366901604,1,[2606.0224077758967],[2647.0224077758967],1572.2553633098396,41.0,1613.2553633098396,1,False
161,"['11', '7']",1991.201360425536,6,[3180.6513196899314],[3208.6513196899314],1580.798639574464,28.0,1608.798639574464,1,False
162,"['B4', '1']",2011.0501986027252,1,[2029.0501986027252],[2047.0501986027252],18.0,18.0,36.0,0,True
163,['7'],2016.1611106094997,1,,,1583.8388893905003,,,0,False
164,"['5', '7']",2025.0861411763894,13,[2426.1213194799966],[2443.1213194799966],1557.9138588236106,17.0,1574.9138588236106,1,False
165,"['4', '7']",2026.9874671006678,15,[2040.9874671006678],[2054.987467100668],1559.0125328993322,14.0,1573.0125328993322,1,False
166,"['2', '1']",2029.254307399597,1,[2084.987467100668],[2090.987467100668],55.73315970107069,6.0,61.73315970107069,0,True
167,"['3', '1']",2044.8774631964268,B1,[2076.987467100668],[2090.987467100668],1541.1225368035732,14.0,1555.1225368035732,1,False
168,"['11', '7']",2048.740904903335,B1,[3181.6513196899314],[3208.6513196899314],1524.259095096665,27.0,1551.259095096665,1,False
169,"['13', '9']",2067.6768336856644,9,[2074.6768336856644],[2092.6768336856644],7.0,18.0,25.0,0,True
170,"['B4', '1']",2070.9279695382,6,[2089.9279695382],[2107.9279695382],1511.0720304617998,18.0,1529.0720304617998,1,False
171,"['13', '7']",2095.3271598274164,7,[2618.0224077758967],[2647.0224077758967],522.6952479484803,29.0,551.6952479484803,0,True
172,"['5', '7']",2100.6666158481466,15,[2428.1213194799966],[2443.1213194799966],1484.3333841518534,15.0,1499.3333841518534,1,False
173,"['12', '7']",2108.11541763666,6,[2138.6768336856644],[2160.6768336856644],1469.88458236334,22.0,1491.88458236334,1,False
174,['6'],2109.7514782599555,B1,[3532.95006135831],,1423.1985830983544,67.04993864169,1490.2485217400445,0,False
175,['1'],2132.1220873681546,9,,,1467.8779126318454,,,0,False
176,['7'],2162.4687698762013,5,,,1437.5312301237987,,,0,False
177,"['8', '11']",2186.6169224765063,11,[2192.6169224765063],[2206.6169224765063],6.0,14.0,20.0,0,True
178,"['11', '7']",2204.7925494188225,5,[3182.6513196899314],[3208.6513196899314],1369.2074505811775,26.0,1395.2074505811775,1,False
179,"['B3', '1']",2210.1656586804074,4,[2224.1656586804074],[2238.1656586804074],1375.8343413195926,14.0,1389.8343413195926,1,False
180,['B1'],2217.0850029268113,2,,,1382.9149970731887,,,0,False
181,"['4', '1']",2235.387586407467,B1,[2250.387586407467],[2264.387586407467],1350.612413592533,14.0,1364.612413592533,1,False
182,"['12', '10']",2267.294927918994,10,[2273.294927918994],[2283.294927918994],6.0,10.0,16.0,0,True
183,"['B1', 'B3']",2271.3532582865414,B3,[2277.3532582865414],[2287.3532582865414],6.0,10.0,16.0,0,True
184,"['8', '14']",2273.4548173931657,14,[2760.1039280485984],[2786.1039280485984],486.64911065543265,26.0,512.6491106554327,0,True
185,"['11', '7']",2286.9261457964762,7,[3183.6513196899314],[3208.6513196899314],896.7251738934551,25.0,921.7251738934551,0,True
186,['9'],2294.9119635233214,B3,,,1305.0880364766786,,,0,False
187,"['9', '13']",2298.8677590608495,13,[2314.294927918994],[2332.294927918994],15.427168858144341,18.0,33.42716885814434,0,True
188,['10'],2312.2086093016965,14,,,1287.7913906983035,,,0,False
189,"['13', '15']",2319.5984385592237,15,[2335.294927918994],[2345.294927918994],15.696489359770112,10.0,25.696489359770112,0,True
190,['1'],2352.6978865648193,3,,,1247.3021134351807,,,0,False
191,"['8', '7']",2366.2854500736453,1,[2397.2854500736453],[2403.2854500736453],1227.7145499263547,6.0,1233.7145499263547,1,False
192,"['3', '7']",2372.943162655439,12,[2404.1213194799966],[2443.1213194799966],1188.0568373445608,39.0,1227.0568373445608,1,False
193,"['B4', '1']",2387.428806464959,9,[2394.428806464959],[2412.428806464959],1194.571193535041,18.0,1212.571193535041,1,False
194,"['3', '1']",2390.1213194799966,1,[2463.1213194799966],[2473.1213194799966],73.0,10.0,83.0,0,True
195,['12'],2403.0751951858665,1,,,1196.9248048141335,,,0,False
196,"['11', '7']",2420.6934282951474,3,[3184.6513196899314],[3208.6513196899314],1155.3065717048526,24.0,1179.3065717048526,1,False
197,['5'],2423.823776155809,B1,[3556.95006135831],,1133.126285202501,43.049938641690005,1176.176223844191,0,False
198,"['13', '7']",2425.317779333344,5,[2619.0224077758967],[2647.0224077758967],1146.6822206666561,28.0,1174.6822206666561,1,False
199,['9'],2436.8127589521473,1,,,1163.1872410478527,,,0,False
200,"['13', '14']",2442.824533320717,14,[2469.824533320717],[2475.824533320717],27.0,6.0,33.0,0,True
201,['B1'],2459.654342201888,12,,,1140.345657798112,,,0,False
202,['2'],2468.303845577215,B3,[3598.95006135831],,1130.6462157810952,1.0499386416900052,1131.6961544227852,0,False
203,"['4', '1']",2479.576516493637,B4,[2493.576516493637],[2507.576516493637],1106.423483506363,14.0,1120.423483506363,1,False
204,"['11', '15']",2480.3203695625552,15,[2535.813932765216],[2553.813932765216],55.49356320266088,18.0,73.49356320266088,0,True
205,"['8', '7']",2481.813932765216,6,[2508.813932765216],[2514.813932765216],1112.1860672347839,6.0,1118.1860672347839,1,False
206,"['14', '7']",2498.8652013593596,4,[2608.0224077758967],[2647.0224077758967],1062.1347986406404,39.0,1101.1347986406404,1,False
207,"['B3', 'B4']",2505.155823190611,B4,[2519.155823190611],[2525.155823190611],14.0,6.0,20.0,0,True
208,['12'],2539.204489228247,10,,,1060.795510771753,,,0,False
209,"['6', '7']",2568.0325312874497,7,[2595.4014863827797],[2601.4014863827797],27.368955095329966,6.0,33.368955095329966,0,True
